feature,importance
gender_score,0.21418575063613235
vowel_position,0.0756997455470738
vowel_ratio,0.042048346055979666
ends_arabe_fem,0.03988549618320612
syllable_count,0.030470737913486014
starts_ewe_masc,0.014885496183206125
first_name_length,0.013040712468193416
vowel_count,0.009223918575063628
is_exception,0.00718829516539442
exception_value,0.0037531806615776265
starts_ewe_fem,0.0025445292620865367
ends_ewe_fem,0.0015267175572519
nb_first_names,0.0012722646310432406
starts_kabye_fem,0.0011450381679389166
ends_kabye_fem,0.0006361323155216203
starts_kabye_masc,6.361323155216204e-05
ends_ewe_masc,0.0
ends_arabe_masc,0.0
ends_kabye_masc,-6.361323155216204e-05
